ID,Name,Price,"Quantity on Hand"
258,"Celadon blue Sofa",$649.99,79
259,"Aero blue Storage Bench",$194.99,79
260,"Bud green End Table",$39.99,86
261,"Cadet grey Dresser",$699.99,58
262,"Slimy green Dining Table",$800,73
263,"Wild watermelon Sleeper Sofa","$1,279.99",83
264,"Carolina blue Bed",$389.99,22
265,"Mulberry Dresser",$699.99,38
266,"United Nations blue Ottoman",$52.99,1
267,"Mountbatten pink Loveseat",$269.99,76
268,"Neon green Plant Stand",$42.99,89
269,"Cool grey Sofa",$649.99,47
270,"Goldenrod Daybed",$311.99,84
271,"Bright green Wardrobe",$719.99,86
272,"Mauvelous Sectional","$1,039.99",48
273,"Battleship grey Sofa",$649.99,24
274,"Chocolate Dining Table",$800,78
275,"Silver pink Storage Bench",$194.99,85
276,"Mandarin Reclining Loveseat","$1,023.99",100
277,"Heliotrope gray Loveseat",$269.99,8
278,"Brown sugar Storage Bench",$194.99,39
279,"Flame Crib",$289,82
280,"Imperial red Headboard",$222.99,45
281,"Languid lavender Bench",$114.99,64
282,"Violet-blue Nightstand",$81.99,4
283,"Rocket metallic Bed",$389.99,67
284,"Palatinate purple End Table",$39.99,91
285,"Coyote brown Reclining Sofa","$1,119.99",29
286,"Persian pink Coffee Table",$200,100
287,"Mexican pink Reclining Loveseat","$1,023.99",60
288,"Dark electric blue Sofa",$649.99,17
289,"Cinnamon Satin Nightstand",$81.99,82
290,"Maximum red purple Nightstand",$81.99,94
291,"China pink Stool",$54.99,63
292,"Mountain Meadow green Dresser",$699.99,40
293,"Fawn Headboard",$222.99,4
294,"Light coral Reclining Loveseat","$1,023.99",26
295,"Rich black Dining Table",$800,56
296,"Tickle Me Pink Coffee Table",$200,41
297,"Neon blue Reclining Sofa","$1,119.99",68
298,"Blood red Reclining Loveseat","$1,023.99",43
299,"China pink Wardrobe",$719.99,20
300,"Espresso Bench",$114.99,24
301,"Maximum blue Headboard",$222.99,83
302,"Neon fuchsia Coffee Table",$200,86
303,"Emerald Dresser",$699.99,28
304,"Wild watermelon Reclining Loveseat","$1,023.99",90
305,"OU Crimson red Sofa",$649.99,82
306,"Umber Dining Chair",$89.99,72
307,"Green-blue Coffee Table",$200,73
308,"Royal blue Stool",$54.99,66
309,"Psychedelic purple Reclining Loveseat","$1,023.99",44
310,"Amaranth red Stool",$54.99,83
311,"Pale silver Loveseat",$269.99,36
312,"Hot magenta Futon",$219.99,42
313,"Flax Daybed",$311.99,79
314,"Manatee grey Futon",$219.99,16
315,"Middle red Nightstand",$81.99,10
316,"Chestnut Plant Stand",$42.99,51
317,"Slate blue Wardrobe",$719.99,70
318,"Dim gray Dining Table",$800,48
319,"Spanish viridian Storage Bench",$194.99,79
320,"University of Pennsylvania red Headboard",$222.99,66
321,"Light gray Coffee Table",$200,53
322,"Lime Wardrobe",$719.99,19
323,"Rocket metallic Dresser",$699.99,28
324,"Brown sugar Dresser",$699.99,6
325,"Fluorescent blue Sofa",$649.99,65
326,"Sizzling Sunrise yellow Plant Stand",$42.99,57
327,"Khaki Bed",$389.99,44
328,"Ghost white Plant Stand",$42.99,58
329,"Citron Sectional","$1,039.99",26
330,"Frostbite pink Nightstand",$81.99,44
331,"Ultra red Plant Stand",$42.99,1
332,"Resolution blue Bench",$114.99,18
333,"Chinese violet Dining Table",$800,45
334,"Denim Crib",$289,19
335,"Vegas gold Dining Table",$800,1
336,"Saffron Bench",$114.99,56
337,"Espresso End Table",$39.99,19
338,"Chocolate Loveseat",$269.99,61
339,"Sand dune Chaise Lounge",$235.99,21
340,"Congo pink Ottoman",$52.99,92
341,"Uranian blue Stool",$54.99,30
342,"Silver pink Headboard",$222.99,58
343,"Green-yellow Dining Table",$800,12
344,"Steel Teal Loveseat",$269.99,32
345,"Unbleached silk Futon",$219.99,28
346,"French violet Wardrobe",$719.99,95
347,"Mauve taupe Chaise Lounge",$235.99,65
348,"Dark green Dining Table",$800,65
349,"OU Crimson red Bed",$389.99,11
350,"Green-blue Sectional","$1,039.99",56
351,"Pansy purple Wardrobe",$719.99,30
352,"Han purple Sofa",$649.99,63
353,"Dark sea green Nightstand",$81.99,85
354,"Orange-yellow Daybed",$311.99,87
355,"Pacific blue Sofa",$649.99,10
356,"Smoky black Nightstand",$81.99,56
357,"Dogwood rose Sleeper Sofa","$1,279.99",59
358,"Indigo dye Nightstand",$81.99,84
359,"Gold Daybed",$311.99,2
360,"Sage green Coffee Table",$200,53
361,"Copper penny Dining Chair",$89.99,60
362,"Steel blue Headboard",$222.99,4
363,"Lemon yellow Reclining Loveseat","$1,023.99",91
364,"Salmon pink Nightstand",$81.99,81
365,"Eton blue End Table",$39.99,62
366,"Blanched almond Ottoman",$52.99,50
367,"Candy apple red Nightstand",$81.99,98
368,"India green Reclining Sofa","$1,119.99",4
369,"B'dazzled blue Crib",$289,83
370,"International orange Headboard",$222.99,91
371,"Rusty red Dining Chair",$89.99,60
372,"Light cyan Plant Stand",$42.99,53
373,"Roman silver Reclining Loveseat","$1,023.99",54
374,"Italian sky blue Coffee Table",$200,0
375,"Dark sky blue Chaise Lounge",$235.99,24
376,"Royal purple Dresser",$699.99,96
377,"Pine green Crib",$289,79
378,"Electric lime Dresser",$699.99,78
379,"Amaranth red Ottoman",$52.99,98
380,"Drab Stool",$54.99,44
381,"Peach Nightstand",$81.99,18
382,"Moss green Nightstand",$81.99,35
383,"Smoky black Reclining Sofa","$1,119.99",9
384,"Mustard yellow Daybed",$311.99,22
385,"Picotee blue Futon",$219.99,3
386,"Seal brown Storage Bench",$194.99,98
387,"Desert sand Dresser",$699.99,74
388,"Rose taupe Bed",$389.99,37
389,"Wintergreen Dream Reclining Loveseat","$1,023.99",9
390,"Amaranth red Plant Stand",$42.99,42
391,"Forest green Crib",$289,20
392,"Barn red Sectional","$1,039.99",4
393,"Black Sectional","$1,039.99",87
394,"Space cadet blue Reclining Sofa","$1,119.99",60
395,"Slate blue Plant Stand",$42.99,34
396,"Café au lait Bench",$114.99,66
397,"Lilac Reclining Loveseat","$1,023.99",96
398,"Cadmium red Dining Chair",$89.99,62
399,"Old gold Reclining Loveseat","$1,023.99",67
400,"English lavender Dining Table",$800,36
401,"United Nations blue Wardrobe",$719.99,65
402,"Crimson Crib",$289,10
403,"Chocolate Sectional","$1,039.99",1
404,"YInMn Blue Loveseat",$269.99,34
405,"Dark red Chaise Lounge",$235.99,83
406,"Dark blue-gray Futon",$219.99,2
407,"French bistre Sectional","$1,039.99",96
408,"Dark slate blue Dining Chair",$89.99,23
409,"Chocolate Futon",$219.99,61
410,"Fandango pink Bed",$389.99,95
411,"Egyptian blue Bench",$114.99,81
412,"Maximum blue green Sleeper Sofa","$1,279.99",72
413,"Safety orange Wardrobe",$719.99,60
414,"Seal brown Nightstand",$81.99,55
415,"Citrine Sectional","$1,039.99",24
416,"Coral Bench",$114.99,52
417,"Light goldenrod yellow Coffee Table",$200,51
418,"Wild blue yonder Dresser",$699.99,88
419,"Harvard Crimson Futon",$219.99,12
420,"Spanish orange Bed",$389.99,47
421,"Light sea green Daybed",$311.99,58
422,"Tiffany Blue Nightstand",$81.99,63
423,"Green Lizard Daybed",$311.99,40
424,"Coffee Stool",$54.99,73
425,"Cobalt blue Coffee Table",$200,99
426,"Green-blue Bed",$389.99,6
427,"Smoky black Chaise Lounge",$235.99,51
428,"Mint green Wardrobe",$719.99,93
429,"Black bean Chaise Lounge",$235.99,74
430,"Sand dune Reclining Loveseat","$1,023.99",30
431,"Aquamarine Dining Chair",$89.99,43
432,"Saffron Bench",$114.99,88
433,"Lemon glacier Reclining Sofa","$1,119.99",17
434,"Mikado yellow Chaise Lounge",$235.99,40
435,"Old lavender Daybed",$311.99,95
436,"Thulian pink Plant Stand",$42.99,12
437,"Persian orange Sofa",$649.99,31
438,"Mountain Meadow green Nightstand",$81.99,86
439,"Turquoise green Wardrobe",$719.99,70
440,"Maximum blue Futon",$219.99,69
441,"Cerulean frost End Table",$39.99,13
442,"Deep chestnut Headboard",$222.99,64
443,"Vivid tangerine Futon",$219.99,28
444,"United Nations blue Reclining Sofa","$1,119.99",74
445,"Schauss pink Crib",$289,93
446,"Aero blue Reclining Sofa","$1,119.99",7
447,"Polished Pine Daybed",$311.99,78
448,"Hansa yellow Bench",$114.99,87
449,"Syracuse Orange Sectional","$1,039.99",10
450,"Salmon pink Nightstand",$81.99,95
451,"Misty moss green Futon",$219.99,81
452,"Brandy Dining Table",$800,6
453,"Space cadet blue Coffee Table",$200,65
454,"Neon blue Futon",$219.99,10
455,"Blond Storage Bench",$194.99,28
456,"Amaranth red Nightstand",$81.99,54
457,"Cyber yellow Futon",$219.99,85
458,"Amaranth red Storage Bench",$194.99,40
459,"Paolo Veronese green Plant Stand",$42.99,48
460,"Air superiority blue Headboard",$222.99,8
461,"Orange End Table",$39.99,55
462,"Brink pink Reclining Sofa","$1,119.99",36
463,"Cedar Chest Sofa",$649.99,12
464,"Blue bell Stool",$54.99,36
465,"Moss green Sectional","$1,039.99",20
466,"Blush Dresser",$699.99,2
467,"Periwinkle End Table",$39.99,82
468,"Medium orchid Dining Chair",$89.99,62
469,"Sugar Plum Plant Stand",$42.99,12
470,"Electric indigo Plant Stand",$42.99,68
471,"Dark sky blue Bed",$389.99,15
472,"Middle blue Loveseat",$269.99,26
473,"Turtle green Ottoman",$52.99,54
474,"Blast-off bronze Bench",$114.99,6
475,"Shamrock green End Table",$39.99,43
476,"Red Storage Bench",$194.99,53
477,"Drab Reclining Sofa","$1,119.99",21
478,"Light salmon Bench",$114.99,100
479,"Dark violet Chaise Lounge",$235.99,60
480,"Dodger blue Crib",$289,45
481,"Maximum purple Dresser",$699.99,96
482,"Bistre brown Sofa",$649.99,93
483,"Ghost white Ottoman",$52.99,26
484,"Magnolia Nightstand",$81.99,68
485,"Ocean green Dresser",$699.99,32
486,"Blue-violet End Table",$39.99,49
487,"Light sky blue Reclining Sofa","$1,119.99",85
488,"Columbia Blue Dining Table",$800,89
489,"Silver sand Headboard",$222.99,10
490,"Violet-blue Headboard",$222.99,14
491,"Neon green Stool",$54.99,50
492,"Spanish green Loveseat",$269.99,60
493,"Bright yellow Sleeper Sofa","$1,279.99",73
494,"Deep pink Ottoman",$52.99,60
495,"Wood brown Chaise Lounge",$235.99,1
496,"Process yellow Loveseat",$269.99,95
497,"Old lace End Table",$39.99,91
498,"Green Sheen Daybed",$311.99,71
499,"Dark jungle green Futon",$219.99,86
500,"Tuscan tan Bed",$389.99,40
501,"Dark green Storage Bench",$194.99,25
502,"Cocoa brown Crib",$289,13
503,"Sky blue Bed",$389.99,45
504,"Orchid Storage Bench",$194.99,12
505,"Medium candy apple red Storage Bench",$194.99,43
506,"Taupe gray Coffee Table",$200,59
507,"Blue jeans Reclining Loveseat","$1,023.99",20
508,"Pine green Dresser",$699.99,71
509,"Tawny Daybed",$311.99,48
510,"Electric purple Sleeper Sofa","$1,279.99",46
511,"Heliotrope gray Dining Chair",$89.99,3
512,"Persian red End Table",$39.99,73
513,"Windsor tan Stool",$54.99,28
514,"Deep cerise Storage Bench",$194.99,65
515,"New York pink End Table",$39.99,27
516,"Unbleached silk Dining Table",$800,22
517,"Rose bonbon Bench",$114.99,97
518,"Amethyst Headboard",$222.99,78
519,"Straw Sleeper Sofa","$1,279.99",9
520,"May green Sleeper Sofa","$1,279.99",75
521,"Dark sienna Sleeper Sofa","$1,279.99",24
522,"Blood red End Table",$39.99,100
523,"Pink flamingo Sectional","$1,039.99",74
524,"Cinnamon Satin Futon",$219.99,42
525,"Dim gray Wardrobe",$719.99,10
526,"Slate gray End Table",$39.99,3
527,"Pale purple Dining Chair",$89.99,28
528,"Han purple Crib",$289,74
529,"Old burgundy Sectional","$1,039.99",10
530,"Mauve taupe Sofa",$649.99,61
531,"Maximum green yellow Wardrobe",$719.99,73
532,"Middle red Dining Table",$800,61
533,"Fluorescent blue Daybed",$311.99,62
534,"Bleu de France Nightstand",$81.99,58
535,"Rojo Spanish red End Table",$39.99,78
536,"Wintergreen Dream Dresser",$699.99,9
537,"Straw Sleeper Sofa","$1,279.99",11
538,"Mexican pink Futon",$219.99,100
539,"Russet brown Chaise Lounge",$235.99,47
540,"Brown Headboard",$222.99,17
541,"Antique bronze End Table",$39.99,15
542,"Dark magenta Wardrobe",$719.99,0
543,"Wild blue yonder Coffee Table",$200,52
544,"Japanese violet Storage Bench",$194.99,36
545,"Blush Reclining Sofa","$1,119.99",100
546,"Middle green Ottoman",$52.99,48
547,"Dark orange Plant Stand",$42.99,44
548,"Laser lemon Coffee Table",$200,22
549,"Ghost white Chaise Lounge",$235.99,88
550,"Radical Red Sectional","$1,039.99",74
551,"English green Sectional","$1,039.99",84
552,"Old lavender Reclining Sofa","$1,119.99",8
553,"Piggy pink Chaise Lounge",$235.99,78
554,"Chinese yellow Bed",$389.99,56
555,"Silver chalice End Table",$39.99,78
556,"Cyan Bench",$114.99,100
557,"Dark khaki Stool",$54.99,24
558,"French rose Dining Table",$800,49
559,"Magenta haze Plant Stand",$42.99,31
560,"French mauve Sleeper Sofa","$1,279.99",58
561,"Lavender gray Sleeper Sofa","$1,279.99",47
562,"Orchid Sleeper Sofa","$1,279.99",48
563,"Oxford blue Headboard",$222.99,42
564,"Thulian pink Nightstand",$81.99,1
565,"Sweet Brown Bed",$389.99,31
566,"Sizzling Sunrise yellow Dining Table",$800,81
567,"Amaranth purple Nightstand",$81.99,98
568,"Imperial red Storage Bench",$194.99,5
569,"Light slate gray Wardrobe",$719.99,23
570,"Copper penny Dining Table",$800,39
571,"Corn Nightstand",$81.99,73
572,"Telemagenta End Table",$39.99,90
573,"Charleston green Coffee Table",$200,69
574,"Egyptian blue Daybed",$311.99,14
575,"Old mauve Bed",$389.99,85
576,"Golden brown Daybed",$311.99,2
577,"Aero blue Crib",$289,57
578,"Yellow Sunshine Nightstand",$81.99,96
579,"Windsor tan End Table",$39.99,7
580,"Azure Futon",$219.99,80
581,"Light coral Dresser",$699.99,10
582,"English vermillion Chaise Lounge",$235.99,76
583,"Hot pink Futon",$219.99,100
584,"Davy's grey Ottoman",$52.99,62
585,"Orange-red Futon",$219.99,79
586,"Harvard Crimson Sofa",$649.99,92
587,"Indian yellow Reclining Loveseat","$1,023.99",84
588,"Ivory Ottoman",$52.99,22
589,"Burnt sienna End Table",$39.99,67
590,"Spanish carmine Dresser",$699.99,11
591,"Bluetiful Headboard",$222.99,54
592,"Dark purple Plant Stand",$42.99,6
593,"Blue bell End Table",$39.99,95
594,"Magnolia Wardrobe",$719.99,98
595,"Strawberry Blonde Bed",$389.99,1
596,"Copper Chaise Lounge",$235.99,8
597,"Dark salmon Loveseat",$269.99,13
598,"Robin egg blue Bed",$389.99,24
599,"Maximum yellow End Table",$39.99,44
600,"Platinum Reclining Sofa","$1,119.99",64
601,"Lime Nightstand",$81.99,26
602,"Paradise pink Reclining Sofa","$1,119.99",75
603,"Castleton green Dining Chair",$89.99,71
604,"Light green Ottoman",$52.99,72
605,"Sugar Plum Plant Stand",$42.99,78
606,"Auburn Daybed",$311.99,79
607,"Wine red Crib",$289,80
608,"Indigo dye Stool",$54.99,61
609,"Chartreuse Dining Table",$800,27
610,"Sap green Dining Chair",$89.99,79
611,"Light French beige Futon",$219.99,10
612,"Dogwood rose Wardrobe",$719.99,67
613,"English lavender Chaise Lounge",$235.99,75
614,"Cotton candy Bed",$389.99,0
615,"Dark orchid Dining Table",$800,8
616,"Nickel Sofa",$649.99,17
617,"Honeydew Reclining Loveseat","$1,023.99",70
618,"Deep sky blue Chaise Lounge",$235.99,83
619,"Corn Stool",$54.99,7
620,"Mantis green Plant Stand",$42.99,44
621,"Gold End Table",$39.99,32
622,"Deep pink Plant Stand",$42.99,13
623,"Naples yellow Bench",$114.99,41
624,"Maximum purple Crib",$289,96
625,"Electric violet Storage Bench",$194.99,76
626,"Light yellow Reclining Sofa","$1,119.99",56
627,"Light sky blue Chaise Lounge",$235.99,6
628,"Turtle green Wardrobe",$719.99,49
629,"Blood red Storage Bench",$194.99,40
630,"Blue sapphire Sofa",$649.99,19
631,"Naples yellow Sofa",$649.99,42
632,"Spanish gray Ottoman",$52.99,26
633,"Electric purple Headboard",$222.99,73
634,"Medium blue Futon",$219.99,51
635,"Russian green Coffee Table",$200,66
636,"Corn Coffee Table",$200,69
637,"Lincoln green Sleeper Sofa","$1,279.99",50
638,"Vivid violet Reclining Loveseat","$1,023.99",44
639,"Cosmic cobalt Sofa",$649.99,33
640,"Bright green Loveseat",$269.99,9
641,"Wintergreen Dream Sofa",$649.99,68
642,"Emerald Reclining Sofa","$1,119.99",54
643,"Light pink Bench",$114.99,96
644,"Dark cyan Dining Table",$800,53
645,"Yellow Storage Bench",$194.99,11
646,"Magic mint Sleeper Sofa","$1,279.99",72
647,"Peach End Table",$39.99,55
